station_1,station_2,station_3,between_ratio,perimeter,delta,tau,cutoff,perimeter_norm,trips_between_norm,combined_between_ratio_distance,station1_name,station2_name,station3_name
D32005,C32034,M32018,0.003228410008071025,13.33167236438646,4h,1,0,0.8231381951714725,0.9688985438519416,0.797537398690555,Copley Square - Dartmouth St at Boylston St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Harvard Square at Mass Ave/ Dunster
C32034,M32018,D32046,0.006264682850430697,13.394364777094001,4h,1,0,0.8271594015188839,0.9358109832237228,0.7740648528181329,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Harvard Square at Mass Ave/ Dunster,Boylston St at Exeter St
C32034,M32018,D32024,0.005001923816852636,12.939474498384318,4h,1,0,0.7979819046396943,0.9495718071850747,0.7577411192897024,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Harvard Square at Mass Ave/ Dunster,Beacon St at Charles St
C32034,M32018,M32071,0.005510809665112336,12.933141476000063,4h,1,0,0.7975756929673399,0.9440262609738688,0.7529323992756002,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Harvard Square at Mass Ave/ Dunster,MIT Hayward St at Amherst St
A32004,M32005,B32007,0.004077471967380225,12.228020604575057,4h,2,0,0.7523479468747817,0.9596459534180977,0.7219876627807982,Longwood Ave at Binney St,MIT Stata Center at Vassar St / Main St,Seaport Square - Seaport Blvd at Northern Ave
A32004,M32005,C32034,0.0030425963488843813,12.017967638265189,4h,2,0,0.7388747643166594,0.9709234345758961,0.7173908238917868,Longwood Ave at Binney St,MIT Stata Center at Vassar St / Main St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd
M32037,A32004,B32007,0.006331976481230212,12.159418874499629,4h,2,0,0.7479477060719655,0.9350776558172038,0.6993891876676285,Ames St at Main St,Longwood Ave at Binney St,Seaport Square - Seaport Blvd at Northern Ave
M32037,A32004,C32034,0.005402971634398919,11.950046367626104,4h,2,0,0.7345181694302532,0.9452014180050415,0.6942676152959426,Ames St at Main St,Longwood Ave at Binney St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd
A32004,B32007,D32017,0.002191780821917808,11.031315691288883,4h,2,0,0.6755890986273286,0.9801951343846849,0.6622091473178425,Longwood Ave at Binney St,Seaport Square - Seaport Blvd at Northern Ave,Mugar Way at Beacon St
D32006,M32042,C32029,0.010267857142857143,11.898310227789906,30min,0,10,0.7311997185218412,0.892186684953134,0.6523666529066662,Lewis Wharf at Atlantic Ave,MIT Vassar St,W Broadway at D St
M32042,C32029,D32024,0.004178272980501393,9.906432576942832,30min,0,10,0.6034370323062279,0.958547481770062,0.5784230477239343,MIT Vassar St,W Broadway at D St,Beacon St at Charles St
M32006,D32006,C32029,0.00931899641577061,10.318961101575033,30min,0,10,0.629897368574954,0.9025268251398809,0.5684992722239187,MIT at Mass Ave / Amherst St,Lewis Wharf at Atlantic Ave,W Broadway at D St
M32005,D32006,C32029,0.008995502248875561,10.216633444902588,30min,0,10,0.6233338849769223,0.9060520790995009,0.5647729624565097,MIT Stata Center at Vassar St / Main St,Lewis Wharf at Atlantic Ave,W Broadway at D St
M32037,D32006,C32029,0.008444444444444444,9.813120504996927,30min,0,10,0.5974518248497944,0.9120571911103167,0.5449102331962364,Ames St at Main St,Lewis Wharf at Atlantic Ave,W Broadway at D St
M32011,C32036,B32016,0.0114305507447177,10.058051010024606,30min,1,10,0.6131621167169555,0.8795163166954167,0.539286086432062,Central Square at Mass Ave / Essex St,Seaport Blvd at Sleeper St,Beacon St at Massachusetts Ave
M32011,C32036,D32019,0.007399577167019027,9.505163089004778,30min,1,10,0.577698871303454,0.9234435556385411,0.5334722998048335,Central Square at Mass Ave / Essex St,Seaport Blvd at Sleeper St,Chinatown T Stop
M32011,M32037,C32036,0.008750437521876094,9.408228483445896,30min,1,10,0.5714813078962904,0.9087226539896451,0.5193180108169906,Central Square at Mass Ave / Essex St,Ames St at Main St,Seaport Blvd at Sleeper St
C32036,D32019,M32042,0.0072668550666128385,9.195236444712796,30min,1,10,0.5578196078418175,0.9248898849942657,0.515921712944365,Seaport Blvd at Sleeper St,Chinatown T Stop,MIT Vassar St
M32011,C32036,M32005,0.013420245398773007,9.406516736867992,30min,1,10,0.5713715133309363,0.8578337651212525,0.490141776563705,Central Square at Mass Ave / Essex St,Seaport Blvd at Sleeper St,MIT Stata Center at Vassar St / Main St
A32002,C32036,B32002,0.0029577048210588583,12.676478087046474,30min,2,10,0.781112832403606,0.9718485337746777,0.75912336088403,Commonwealth Ave at Agganis Way,Seaport Blvd at Sleeper St,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd
M32011,A32002,C32036,0.00672834314550042,12.509872451567507,30min,2,10,0.770426441340179,0.9307582791616944,0.7170807887624531,Central Square at Mass Ave / Essex St,Commonwealth Ave at Agganis Way,Seaport Blvd at Sleeper St
M32011,C32036,B32002,0.002316346790205162,11.915365008051273,30min,2,10,0.7322936434112953,0.9788376858805783,0.7167966153017697,Central Square at Mass Ave / Essex St,Seaport Blvd at Sleeper St,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd
A32002,C32036,M32005,0.004044489383215369,12.062847712943721,30min,2,10,0.741753454629816,0.9600053787101877,0.7120873061214865,Commonwealth Ave at Agganis Way,Seaport Blvd at Sleeper St,MIT Stata Center at Vassar St / Main St
A32002,B32062,C32036,0.0076358296622613805,12.360777512438194,30min,2,10,0.7608632184603934,0.9208690113977066,0.7006553597924997,Commonwealth Ave at Agganis Way,Forsyth St at Huntington Ave,Seaport Blvd at Sleeper St
M32005,A32004,C32034,0.0030425963488843813,12.017967638265187,1h,0,10,0.7388747643166593,0.9709234345758961,0.7173908238917867,MIT Stata Center at Vassar St / Main St,Longwood Ave at Binney St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd
M32037,A32004,C32034,0.005402971634398919,11.950046367626104,1h,0,10,0.7345181694302532,0.9452014180050415,0.6942676152959426,Ames St at Main St,Longwood Ave at Binney St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd
M32005,D32006,A32004,0.0032124827902707664,11.580499927842204,1h,0,10,0.7108147829255004,0.9690721095398642,0.6888307811817354,MIT Stata Center at Vassar St / Main St,Lewis Wharf at Atlantic Ave,Longwood Ave at Binney St
M32006,A32004,C32034,0.0050706265845708075,11.596579591006016,1h,0,10,0.7118461620156654,0.9488231238123266,0.6754160991175192,MIT at Mass Ave / Amherst St,Longwood Ave at Binney St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd
M32005,C32036,A32004,0.005373936408419167,11.630127066282084,1h,0,10,0.7139979586158228,0.945517827250797,0.6750977984919373,MIT Stata Center at Vassar St / Main St,Seaport Blvd at Sleeper St,Longwood Ave at Binney St
M32011,B32002,D32006,0.0016846361185983828,12.058690831853504,1h,1,10,0.7414868246517452,0.9857217065965946,0.7308996582146082,Central Square at Mass Ave / Essex St,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,Lewis Wharf at Atlantic Ave
C32036,M32011,B32002,0.002316346790205162,11.915365008051273,1h,1,10,0.7322936434112953,0.9788376858805783,0.7167966153017697,Seaport Blvd at Sleeper St,Central Square at Mass Ave / Essex St,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd
M32005,B32002,D32006,0.0004222972972972973,10.533793689912711,1h,1,10,0.6436771248571747,0.9994779513254753,0.6433410940673211,MIT Stata Center at Vassar St / Main St,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,Lewis Wharf at Atlantic Ave
M32042,B32002,D32006,0.00728807057920982,11.30527469851945,1h,1,10,0.6931613318726059,0.924658690501624,0.6409376494356853,MIT Vassar St,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,Lewis Wharf at Atlantic Ave
A32010,M32011,B32002,0.0036199095022624436,10.800377859423769,1h,1,10,0.6607763224834982,0.9646322068254218,0.6374061221752434,South Station - 700 Atlantic Ave,Central Square at Mass Ave / Essex St,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd
C32036,M32011,B32016,0.0114305507447177,10.058051010024606,1h,2,10,0.6131621167169555,0.8795163166954167,0.539286086432062,Seaport Blvd at Sleeper St,Central Square at Mass Ave / Essex St,Beacon St at Massachusetts Ave
C32036,M32011,D32019,0.007399577167019027,9.50516308900478,1h,2,10,0.5776988713034541,0.9234435556385411,0.5334722998048336,Seaport Blvd at Sleeper St,Central Square at Mass Ave / Essex St,Chinatown T Stop
